Date,Serveur,Traceroute,Values
2021-11-27 14:15:01,speedtest.uztelecom.uz (195.158.0.242),"[('192.168.42.1', '192.168.42.1'), ('192.168.1.1', '192.168.1.1'), ('136.22.97.33', '136.22.97.33'), ('136.22.254.44', '136.22.254.44'), ('108.170.251.144', '108.170.251.144'), ('142.250.234.77', '142.250.234.77'), ('*', '*'), ('195.158.0.242', '195.158.0.242')]","[('0.490', '0.353', '0.437'), ('1.135', '1.015', '0.911'), ('44.883', '44.582', '44.912'), ('44.547', '-1', '-1'), ('52.269', '52.633', '-1'), ('-1', '-1', '49.384'), ('-1', '-1', '-1'), ('48.937', '-1', '-1')]"
2021-11-27 14:15:01,lille.testdebit.info (89.84.1.234),"[('192.168.42.1', '192.168.42.1'), ('192.168.1.1', '192.168.1.1'), ('136.22.97.33', '136.22.97.33'), ('142.250.160.202', '142.250.160.202'), ('195.89.98.65', 'ae46-0-xcr1.fix.cw.net'), ('130.117.15.85', 'be3051.agr41.fra03.atlas.cogentco.com'), ('130.117.14.73', 'be3001.agr41.fra03.atlas.cogentco.com'), ('154.54.58.234', 'be2799.ccr41.par01.atlas.cogentco.com'), ('154.54.58.238', 'be2800.ccr42.par01.atlas.cogentco.com'), ('149.14.121.234', 'bouyguestelecom.demarc.cogentco.com'), ('62.34.2.57', '62.34.2.57'), ('212.194.171.71', 'la28.bsr01-lil.net.bbox.fr'), ('89.89.100.97', 'la2.rpt02-th2.net.bbox.fr'), ('89.89.100.97', 'la2.rpt02-th2.net.bbox.fr'), ('89.84.1.234', '89.84.1.234')]","[('0.520', '0.354', '0.437'), ('1.033', '0.920', '1.133'), ('44.947', '45.070', '45.172'), ('44.115', '-1', '-1'), ('43.467', '-1', '-1'), ('43.572', '41.324', '-1'), ('40.373', '-1', '-1'), ('58.628', '-1', '-1'), ('55.354', '-1', '-1'), ('55.048', '55.841', '55.951'), ('64.976', '65.269', '-1'), ('64.684', '72.398', '65.166'), ('65.171', '65.482', '65.129'), ('-1', '-1', '64.288'), ('65.164', '-1', '-1')]"
2021-11-27 14:15:01,speedtest.serverius.net (178.21.16.76),"[('192.168.42.1', '192.168.42.1'), ('192.168.1.1', '192.168.1.1'), ('136.22.97.33', '136.22.97.33'), ('136.22.254.44', '136.22.254.44'), ('194.146.118.151', 'as33891.dusseldorf.megaport.com'), ('64.125.13.101', 'ae14.mpr1.fra4.de.zip.zayo.com'), ('5.56.20.173', 'core-backbone.serverius.nl'), ('185.8.179.33', '185.8.179.33'), ('64.125.29.79', 'ae1.mcs1.ams17.nl.eth.zayo.com'), ('64.125.29.68', 'ae0.mcs1.ams10.nl.eth.zayo.com'), ('79.141.46.101', '79.141.46.101.available.above.net'), ('185.8.179.33', '185.8.179.33'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*')]","[('0.619', '-1', '-1'), ('1.098', '0.988', '-1'), ('40.762', '40.460', '40.791'), ('40.243', '-1', '-1'), ('40.354', '40.475', '50.898'), ('39.774', '48.985', '-1'), ('56.549', '-1', '-1'), ('62.104', '-1', '-1'), ('-1', '53.931', '*'), ('-1', '57.790', '57.423'), ('57.513', '-1', '-1'), ('-1', '-1', '55.401'), ('-1', '-1', '-1'), ('-1', '-1', '-1'), ('-1', '-1', '-1'), ('-1', '-1', '-1'), ('-1', '-1', '-1'), ('-1', '-1', '-1'), ('-1', '-1', '-1'), ('-1', '-1', '-1'), ('-1', '-1', '-1'), ('-1', '-1', '-1'), ('-1', '-1', '-1'), ('-1', '-1', '-1'), ('-1', '-1', '-1')]"
2021-11-27 14:30:01,iperf.biznetnetworks.com (117.102.109.186),"[('192.168.42.1', '192.168.42.1'), ('192.168.1.1', '192.168.1.1'), ('136.22.97.33', '136.22.97.33'), ('136.22.254.44', '136.22.254.44'), ('194.146.118.80', 'as6939.dusseldorf.megaport.com'), ('184.104.195.25', '100ge6-1.core1.fra1.he.net'), ('184.104.195.13', '100ge4-2.core1.fra1.he.net'), ('91.206.52.170', '10gigabitethernet1-4.core1.zrh1.he.net'), ('184.104.197.42', 'port-channel1.core2.mrs1.he.net'), ('184.104.193.125', '100ge16-2.core1.mrs1.he.net'), ('184.104.197.42', 'port-channel1.core2.mrs1.he.net'), ('184.104.197.42', 'port-channel1.core2.mrs1.he.net'), ('184.105.65.13', '100ge14-2.core1.sin1.he.net'), ('182.253.100.193', '182.253.100.193'), ('117.102.109.186', '117.102.109.186')]","[('0.537', '0.416', '0.343'), ('0.999', '0.940', '1.181'), ('36.053', '36.063', '43.775'), ('43.715', '-1', '-1'), ('67.670', '-1', '-1'), ('67.317', '56.593', '56.147'), ('56.077', '-1', '-1'), ('63.593', '-1', '-1'), ('62.228', '-1', '-1'), ('62.335', '-1', '-1'), ('58.681', '-1', '-1'), ('58.267', '-1', '-1'), ('273.762', '-1', '-1'), ('289.481', '-1', '-1'), ('279.419', '-1', '-1')]"
2021-11-27 14:30:01,iperf.scottlinux.com (45.33.39.39),"[('192.168.42.1', '192.168.42.1'), ('192.168.1.1', '192.168.1.1'), ('136.22.97.33', '136.22.97.33'), ('136.22.254.44', '136.22.254.44'), ('209.85.172.113', '209.85.172.113'), ('195.2.30.33', 'ae13-xcr1.dus.cw.net'), ('80.231.153.20', 'if-ae-49-2.tcore1.pvu-paris.as6453.net'), ('80.231.154.30', 'if-ae-55-2.tcore1.pye-paris.as6453.net'), ('80.231.154.143', 'if-ae-3-2.tcore1.l78-london.as6453.net'), ('195.2.2.150', 'ae13-xcr1.pal.cw.net'), ('195.2.14.206', 'linode-gw-xcr1.sje.cw.net'), ('63.243.128.29', 'if-ae-12-2.tcore1.sqn-sanjose.as6453.net'), ('45.33.39.39', '45.33.39.39')]","[('0.471', '0.332', '0.429'), ('1.004', '0.897', '1.102'), ('40.031', '47.846', '39.960'), ('55.625', '47.513', '-1'), ('55.732', '-1', '-1'), ('206.968', '-1', '-1'), ('204.556', '-1', '-1'), ('204.432', '-1', '-1'), ('191.793', '191.389', '189.534'), ('189.630', '197.343', '-1'), ('188.695', '-1', '-1'), ('188.245', '-1', '-1'), ('188.143', '-1', '-1')]"
2021-11-27 14:30:01,iperf.eenet.ee (193.40.55.7),"[('192.168.42.1', '192.168.42.1'), ('192.168.1.1', '192.168.1.1'), ('136.22.97.33', '136.22.97.33'), ('142.250.160.202', '142.250.160.202'), ('108.170.252.18', '108.170.252.18'), ('*', '*'), ('*', '*'), ('62.115.151.26', 'ffm-b11-link.ip.twelve99.net'), ('62.115.124.118', 'ffm-bb2-link.ip.twelve99.net'), ('62.115.138.104', 's-bb2-link.ip.twelve99.net'), ('62.115.134.239', 'tln-b3-link.ip.twelve99.net'), ('62.115.138.104', 's-bb2-link.ip.twelve99.net'), ('62.115.134.239', 'tln-b3-link.ip.twelve99.net'), ('62.115.151.17', 'teliacarrier.gw.eenet.ee')]","[('0.461', '0.332', '-1'), ('0.917', '-1', '-1'), ('45.275', '37.173', '45.266'), ('53.048', '52.723', '-1'), ('52.494', '-1', '-1'), ('-1', '-1', '-1'), ('-1', '-1', '-1'), ('-1', '47.615', '209.85.242.0'), ('70.227', '-1', '-1'), ('70.565', '70.601', '63.566'), ('71.581', '-1', '-1'), ('79.054', '-1', '-1'), ('-1', '79.670', '*'), ('71.862', '-1', '-1')]"
2021-11-27 14:30:01,speedtest.uztelecom.uz (195.158.0.242),"[('192.168.42.1', '192.168.42.1'), ('192.168.1.1', '192.168.1.1'), ('136.22.97.33', '136.22.97.33'), ('142.250.160.202', '142.250.160.202'), ('108.170.252.19', '108.170.252.19'), ('142.250.234.45', '142.250.234.45'), ('*', '*'), ('195.158.0.242', '195.158.0.242')]","[('0.480', '-1', '-1'), ('1.018', '-1', '-1'), ('48.353', '48.456', '48.646'), ('48.018', '-1', '-1'), ('48.420', '48.088', '-1'), ('39.309', '-1', '-1'), ('-1', '-1', '-1'), ('153.849', '-1', '-1')]"
2021-11-27 14:30:01,lille.testdebit.info (89.84.1.234),"[('192.168.42.1', '192.168.42.1'), ('192.168.1.1', '192.168.1.1'), ('136.22.97.33', '136.22.97.33'), ('136.22.254.44', '136.22.254.44'), ('195.89.98.65', 'ae46-0-xcr1.fix.cw.net'), ('130.117.15.85', 'be3051.agr41.fra03.atlas.cogentco.com'), ('130.117.1.118', 'be3187.ccr42.fra03.atlas.cogentco.com'), ('154.54.58.234', 'be2799.ccr41.par01.atlas.cogentco.com'), ('154.54.58.238', 'be2800.ccr42.par01.atlas.cogentco.com'), ('149.14.121.234', 'bouyguestelecom.demarc.cogentco.com'), ('62.34.2.57', '62.34.2.57'), ('212.194.171.71', 'la28.bsr01-lil.net.bbox.fr'), ('89.89.100.97', 'la2.rpt02-th2.net.bbox.fr'), ('89.89.100.97', 'la2.rpt02-th2.net.bbox.fr'), ('89.84.1.234', '89.84.1.234')]","[('1.055', '1.003', '-1'), ('2.299', '2.276', '-1'), ('39.068', '38.636', '46.475'), ('38.243', '54.148', '-1'), ('46.023', '53.922', '37.892'), ('45.796', '-1', '-1'), ('52.367', '-1', '-1'), ('59.800', '-1', '-1'), ('55.867', '-1', '-1'), ('47.951', '47.709', '62.306'), ('66.245', '66.659', '66.339'), ('65.047', '-1', '-1'), ('55.635', '-1', '-1'), ('-1', '63.354', '*'), ('63.481', '-1', '-1')]"
2021-11-27 14:30:01,speedtest.serverius.net (178.21.16.76),"[('192.168.42.1', '192.168.42.1'), ('192.168.1.1', '192.168.1.1'), ('136.22.97.33', '136.22.97.33'), ('136.22.254.44', '136.22.254.44'), ('195.89.98.65', 'ae46-0-xcr1.fix.cw.net'), ('64.125.13.101', 'ae14.mpr1.fra4.de.zip.zayo.com'), ('64.125.26.172', 'ae12.cs1.fra6.de.eth.zayo.com'), ('*', '*'), ('64.125.29.79', 'ae1.mcs1.ams17.nl.eth.zayo.com'), ('64.125.29.68', 'ae0.mcs1.ams10.nl.eth.zayo.com'), ('79.141.46.98', '79.141.46.98.available.above.net'), ('185.8.179.33', '185.8.179.33'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*')]","[('0.416', '-1', '-1'), ('0.970', '-1', '-1'), ('37.525', '37.671', '37.142'), ('44.833', '-1', '-1'), ('36.580', '-1', '-1'), ('44.493', '-1', '-1'), ('56.544', '-1', '-1'), ('-1', '-1', '-1'), ('-1', '45.475', '*'), ('-1', '42.188', '49.937'), ('44.419', '-1', '-1'), ('45.474', '-1', '-1'), ('-1', '-1', '-1'), ('-1', '-1', '-1'), ('-1', '-1', '-1'), ('-1', '-1', '-1'), ('-1', '-1', '-1'), ('-1', '-1', '-1'), ('-1', '-1', '-1'), ('-1', '-1', '-1'), ('-1', '-1', '-1'), ('-1', '-1', '-1'), ('-1', '-1', '-1'), ('-1', '-1', '-1'), ('-1', '-1', '-1')]"
2021-11-27 14:45:01,iperf.biznetnetworks.com (117.102.109.186),"[('192.168.42.1', '192.168.42.1'), ('192.168.1.1', '192.168.1.1'), ('136.22.97.33', '136.22.97.33'), ('142.250.160.202', '142.250.160.202'), ('195.89.98.65', 'ae46-0-xcr1.fix.cw.net'), ('184.104.195.25', '100ge6-1.core1.fra1.he.net'), ('184.104.195.13', '100ge4-2.core1.fra1.he.net'), ('91.206.52.170', '10gigabitethernet1-4.core1.zrh1.he.net'), ('184.104.197.42', 'port-channel1.core2.mrs1.he.net'), ('184.104.197.42', 'port-channel1.core2.mrs1.he.net'), ('184.104.197.42', 'port-channel1.core2.mrs1.he.net'), ('182.253.187.17', '182.253.187.17'), ('182.253.100.193', '182.253.100.193'), ('74.82.50.70', 'biznet-networks-singapore-pte.e0-11.switch1.sin1.he.net'), ('117.102.109.186', '117.102.109.186')]","[('0.508', '0.380', '0.318'), ('1.134', '1.069', '1.363'), ('44.560', '44.891', '44.589'), ('44.533', '44.332', '-1'), ('52.134', '-1', '-1'), ('59.812', '-1', '-1'), ('50.797', '49.237', '-1'), ('64.764', '-1', '-1'), ('62.263', '62.034', '-1'), ('55.738', '-1', '-1'), ('-1', '58.570', '100ge16-2.core1.mrs1.he.net'), ('290.488', '-1', '-1'), ('290.318', '-1', '-1'), ('290.138', '-1', '-1'), ('279.636', '-1', '-1')]"
