Date,Serveur,Traceroute,Values
2021-12-14 18:00:01,iperf.biznetnetworks.com (117.102.109.186),"[('192.168.42.1', '192.168.42.1'), ('192.168.1.1', '192.168.1.1'), ('136.22.97.33', '136.22.97.33'), ('142.250.160.202', '142.250.160.202'), ('195.89.98.65', 'ae46-0-xcr1.fix.cw.net'), ('184.104.198.25', 'port-channel12.core2.fra1.he.net'), ('72.52.92.86', '100ge11-1.core1.fra2.he.net'), ('184.105.80.133', '100ge15-2.core1.mrs1.he.net'), ('184.105.80.133', '100ge15-2.core1.mrs1.he.net'), ('184.104.193.125', '100ge16-2.core1.mrs1.he.net'), ('184.104.197.42', 'port-channel1.core2.mrs1.he.net'), ('74.82.50.70', 'biznet-networks-singapore-pte.e0-11.switch1.sin1.he.net'), ('74.82.50.70', 'biznet-networks-singapore-pte.e0-11.switch1.sin1.he.net'), ('117.102.109.186', '117.102.109.186')]","[('0.614', '0.391', '0.437'), ('1.010', '0.906', '0.958'), ('42.274', '42.357', '52.895'), ('52.569', '41.874', '52.598'), ('52.269', '-1', '-1'), ('-1', '-1', '48.564'), ('59.191', '-1', '-1'), ('69.447', '62.314', '61.900'), ('61.626', '69.669', '-1'), ('58.754', '58.556', '-1'), ('-1', '68.702', '*'), ('281.848', '-1', '-1'), ('282.045', '-1', '-1'), ('269.295', '-1', '-1')]"
2021-12-14 18:00:01,iperf.scottlinux.com (45.33.39.39),"[('192.168.42.1', '192.168.42.1'), ('192.168.1.1', '192.168.1.1'), ('136.22.97.33', '136.22.97.33'), ('142.250.160.202', '142.250.160.202'), ('209.85.172.113', '209.85.172.113'), ('80.231.245.6', 'if-ae-55-2.tcore2.pvu-paris.as6453.net'), ('195.2.9.126', 'ae15-pcr1.ptl.cw.net'), ('80.231.153.169', 'if-ae-55-4.tcore1.pye-paris.as6453.net'), ('195.2.28.34', 'xe-0-2-1-xcr1.chg.cw.net'), ('195.2.24.97', 'ae1-xcr1.sje.cw.net'), ('63.243.128.17', 'if-ae-22-2.tcore1.nto-newyork.as6453.net'), ('173.230.159.85', 'if-2-4.csw5-fnc1.linode.com'), ('45.33.39.39', '45.33.39.39')]","[('0.495', '0.413', '0.357'), ('1.387', '0.992', '1.517'), ('43.870', '43.519', '43.978'), ('43.201', '53.756', '-1'), ('53.639', '42.967', '-1'), ('203.026', '201.901', '-1'), ('212.427', '-1', '-1'), ('200.763', '181.307', '181.548'), ('138.523', '-1', '-1'), ('200.218', '191.897', '-1'), ('189.590', '-1', '-1'), ('181.041', '-1', '-1'), ('189.161', '-1', '-1')]"
2021-12-14 18:00:01,iperf.eenet.ee (193.40.55.7),"[('*', '*'), ('*', '*'), ('136.22.97.33', '136.22.97.33'), ('142.250.160.202', '142.250.160.202'), ('108.170.251.208', '108.170.251.208'), ('142.250.234.79', '142.250.234.79'), ('*', '*'), ('62.115.153.214', 'ffm-b5-link.ip.twelve99.net'), ('62.115.114.90', 'ffm-bb2-link.ip.twelve99.net'), ('*', '*'), ('62.115.134.239', 'tln-b3-link.ip.twelve99.net'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('62.115.151.17', 'teliacarrier.gw.eenet.ee')]","[('-1', '-1', '-1'), ('-1', '-1', '-1'), ('57.611', '68.130', '57.465'), ('67.853', '-1', '-1'), ('67.518', '-1', '-1'), ('-1', '42.452', '*'), ('-1', '-1', '-1'), ('41.961', '-1', '-1'), ('84.333', '74.557', '74.477'), ('-1', '-1', '-1'), ('-1', '74.409', '*'), ('-1', '-1', '-1'), ('-1', '-1', '-1'), ('-1', '-1', '-1'), ('-1', '-1', '-1'), ('-1', '-1', '-1'), ('68.378', '-1', '-1')]"
2021-12-14 18:00:01,speedtest.uztelecom.uz (195.158.0.242),"[('192.168.42.1', '192.168.42.1'), ('192.168.1.1', '192.168.1.1'), ('136.22.97.33', '136.22.97.33'), ('136.22.254.44', '136.22.254.44'), ('108.170.252.19', '108.170.252.19'), ('*', '*'), ('*', '*'), ('195.158.0.242', '195.158.0.242')]","[('0.467', '0.328', '0.463'), ('0.995', '0.886', '0.926'), ('46.954', '46.600', '46.928'), ('56.923', '46.268', '-1'), ('46.047', '-1', '-1'), ('-1', '-1', '-1'), ('-1', '-1', '-1'), ('159.513', '-1', '-1')]"
2021-12-14 18:00:01,lille.testdebit.info (89.84.1.234),"[('192.168.42.1', '192.168.42.1'), ('192.168.1.1', '192.168.1.1'), ('136.22.97.33', '136.22.97.33'), ('136.22.254.44', '136.22.254.44'), ('195.89.98.65', 'ae46-0-xcr1.fix.cw.net'), ('195.2.27.229', 'ae4-pcr1.fis.cw.net'), ('130.117.1.118', 'be3187.ccr42.fra03.atlas.cogentco.com'), ('130.117.0.1', 'be3186.ccr41.fra03.atlas.cogentco.com'), ('130.117.0.166', 'be3625.rcr21.par05.atlas.cogentco.com'), ('149.14.121.234', 'bouyguestelecom.demarc.cogentco.com'), ('62.34.2.57', '62.34.2.57'), ('212.194.171.71', 'la28.bsr01-lil.net.bbox.fr'), ('212.194.171.71', 'la28.bsr01-lil.net.bbox.fr'), ('89.89.100.97', 'la2.rpt02-th2.net.bbox.fr'), ('89.84.1.234', '89.84.1.234')]","[('0.470', '0.362', '0.305'), ('1.057', '1.294', '0.938'), ('51.796', '51.970', '52.183'), ('51.627', '-1', '-1'), ('62.286', '-1', '-1'), ('72.796', '71.279', '-1'), ('-1', '70.199', 'be3186.ccr41.fra03.atlas.cogentco.com'), ('59.454', '-1', '-1'), ('52.491', '52.642', '-1'), ('61.604', '61.323', '-1'), ('62.059', '62.226', '58.674'), ('59.327', '53.580', '53.281'), ('61.515', '-1', '-1'), ('-1', '-1', '53.748'), ('53.327', '52.845', '53.382')]"
2021-12-14 18:00:01,speedtest.serverius.net (178.21.16.76),"[('192.168.42.1', '192.168.42.1'), ('192.168.1.1', '192.168.1.1'), ('136.22.97.33', '136.22.97.33'), ('142.250.160.202', '142.250.160.202'), ('195.89.98.65', 'ae46-0-xcr1.fix.cw.net'), ('81.95.2.74', 'ae2-2073.ams10.core-backbone.com'), ('64.125.26.172', 'ae12.cs1.fra6.de.eth.zayo.com'), ('*', '*'), ('64.125.29.79', 'ae1.mcs1.ams17.nl.eth.zayo.com'), ('64.125.29.68', 'ae0.mcs1.ams10.nl.eth.zayo.com'), ('*', '*'), ('185.8.179.33', '185.8.179.33'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*'), ('*', '*')]","[('0.415', '0.334', '-1'), ('0.934', '0.880', '-1'), ('55.236', '44.438', '65.730'), ('65.670', '65.919', '-1'), ('65.792', '-1', '-1'), ('76.384', '-1', '-1'), ('-1', '64.681', '72.262'), ('-1', '-1', '-1'), ('41.208', '52.200', '-1'), ('70.097', '59.311', '70.180'), ('-1', '-1', '-1'), ('70.559', '-1', '-1'), ('-1', '-1', '-1'), ('-1', '-1', '-1'), ('-1', '-1', '-1'), ('-1', '-1', '-1'), ('-1', '-1', '-1'), ('-1', '-1', '-1'), ('-1', '-1', '-1'), ('-1', '-1', '-1'), ('-1', '-1', '-1'), ('-1', '-1', '-1'), ('-1', '-1', '-1'), ('-1', '-1', '-1'), ('-1', '-1', '-1')]"
